year,Australia,Canada,India,Pakistan
1960,66.86484014,25.75328403,80.61612383,41.63212435
1961,66.25647668,23.4996412,80.48705042,39.60470353
1962,64.83406097,22.71858407,79.6186484,38.43351548
1963,63.13019491,22.09136703,79.27128204,36.08635373
1964,61.65416064,21.850761,77.77615501,34.2708534
1965,58.79107554,21.5028431,77.61428161,30.89774188
1966,59.38442785,20.29356449,75.33784505,26.2312827
1967,58.38132252,20.34888259,76.48711944,24.27332993
1968,56.93506211,19.97318063,73.11644841,22.96175511
1969,54.85899881,19.24751578,71.55024899,21.84013449
1970,50.37013116,17.23723208,70.03532772,20.05424137
1971,48.64864865,15.85947981,68.22286742,18.68743048
1972,49.40042378,16.32142548,68.23155131,13.2894227
1973,46.6566588,13.64094975,67.94978669,12.1522694
1974,49.47449045,12.44898727,69.44281988,10.71734292
1975,49.47252106,15.44385145,70.76305688,10.20214782
1976,51.0448892,14.812434,70.83617154,8.84714194
1977,51.25951963,15.94641702,70.36584404,9.472259811
1978,51.56289708,16.72691684,68.25818318,9.020763187
1979,52.37379969,17.21234644,67.29740746,9.293873313
1980,53.49347154,18.32863135,69.51525697,10.87478559
1981,52.6313276,19.47843736,68.65652259,10.52126639
1982,52.78252017,21.33928571,67.42739677,12.41785189
1983,54.39462833,22.90264693,67.92396188,10.31753253
1984,54.12275263,24.20106668,65.9782126,11.22614871
1985,56.29484373,23.6555403,65.66713936,12.29692965
1986,56.07817968,22.85191791,66.03890015,12.6872312
1987,57.59797254,22.97713168,66.09188499,12.0350709
1988,57.67885979,23.35104972,66.50332249,12.22047244
1989,58.29383886,23.09318009,64.88470332,11.62846658
1990,54.24962026,22.39641773,72.07915908,13.98325307
1991,55.74543727,23.73830359,71.58662166,13.31575195
1992,56.35778357,23.87079272,72.20777171,12.50462343
1993,55.97708621,22.10454552,73.42992291,11.48734744
1994,54.23980802,21.94500866,73.27656908,12.08547016
1995,53.00471437,21.88942024,70.41025948,10.07948507
1996,55.43891018,21.69829044,71.84906556,10.91297833
1997,56.67670828,22.32936556,71.06118189,9.606784595
1998,56.58411768,23.42387029,69.03476918,9.081081291
1999,56.94838668,22.98077513,67.40287437,8.331549253
2000,56.07162392,23.72584602,67.50127857,8.064387336
2001,56.10629058,23.90776364,67.05151813,9.861111437
2002,56.12466689,22.16166841,68.15149947,12.49750804
2003,53.81996278,21.06090912,68.1669595,14.26004046
2004,53.70543215,20.5870738,70.14530666,13.31838004
2005,54.86556846,20.61966562,70.47132938,13.3637349
2006,55.83018744,21.36411943,69.74984754,15.81277793
2007,53.81603446,20.0426637,70.75717399,13.31273706
2008,53.60804762,20.43576045,69.39112449,12.76400992
2009,54.47994911,16.94649693,65.66539581,12.40239795
2010,53.25788537,16.25520793,68.76645462,12.12926786
2011,51.60339814,14.17002392,71.44345143,10.23188661
2012,50.66328797,13.80436433,67.42655442,9.421485872
2013,46.09782635,12.42700063,69.62558523,12.27264983
2014,44.18978885,13.34748055,69.20933398,11.79295006
2015,45.00333723,12.6468189,69.46453016,13.6692568
2016,44.95217106,11.96464667,69.89561857,13.7859275
